,Equipo,No. Jugadores,Edad Promedio,No. Extranjeros,Valor Total [mil.EUR],Valor Promedio x Jugador [mil.EUR]
0,Bayern Munich ,33,25.1,17,595.4,18.04
1,Bor. Dortmund,31,24.2,16,321.05,10.36
2,Bay. Leverkusen,39,22.8,21,244.58,6.27
3,FC Schalke 04,39,23.7,22,238.75,6.12
4,VfL Wolfsburg,43,23.5,21,225.35,5.24
5,Bor. M'gladbach,33,23.4,15,155.8,4.72
6,Hamburger SV,38,23.6,20,94.98,2.5
7,1.FSV Mainz 05,39,23.3,22,85.7,2.2
8,1. FC K̦ln,30,24.4,13,77.4,2.58
9,TSG Hoffenheim,33,23.5,14,76.55,2.32
10,Hertha BSC,33,24.0,14,75.98,2.3
11,Werder Bremen,41,24.5,20,75.08,1.83
12,RB Leipzig,33,22.6,17,69.18,2.1
13,FC Augsburg,37,25.3,21,69.0,1.86
14,E. Frankfurt,35,23.1,22,66.1,1.89
15,SC Freiburg,36,24.0,13,40.25,1.12
16,FC Ingolstadt,32,23.8,15,36.68,1.15
17,SV Darmstadt 98,39,25.7,17,32.83,842.0
